filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
a2-converted.mp4-00.04.37.277-00.04.54.650_20.jpg,train,flat,high,flat_high,0.1983,8.2502,0.017188,0.9730,23.775,0
a2-converted.mp4-00.06.13.959-00.06.43.015_0.jpg,train,flat,high,flat_high,0.5240,9.6066,0.020014,0.9799,23.890,0
a3-converted.mp4-00.05.14.880-00.05.57.073_60.jpg,train,flat,high,flat_high,1.0492,13.4007,0.027918,0.9634,32.043,0
b4-converted.mp4-00.04.29.322-00.04.46.474_10.jpg,train,flat,high,flat_high,0.3217,9.1960,0.019158,0.9492,152.779,0
b4-converted.mp4-00.05.26.825-00.05.40.658_0.jpg,train,flat,high,flat_high,2.5626,5.4802,0.011417,0.9182,234.125,0
b4-converted.mp4-00.05.26.825-00.05.40.658_20.jpg,train,flat,high,flat_high,1.2635,260.1052,0.541886,0.5165,134.007,0
b4-converted.mp4-00.08.30.960-00.08.58.324_10.jpg,train,flat,high,flat_high,1.5385,0.2593,0.000540,0.9935,43.926,0
c1-converted.mp4-00.07.52.353-00.09.59.939_110.jpg,train,flat,high,flat_high,0.8047,7.5324,0.015693,0.7406,146.942,0
c19-converted.mp4-00.01.53.703-00.02.35.685_0.jpg,train,flat,high,flat_high,1.2543,7.4922,0.015609,0.9573,28.763,0
c19-converted.mp4-00.03.20.301-00.05.47.074_20.jpg,train,flat,high,flat_high,0.9591,8.6580,0.018037,0.9097,109.293,0
c2-converted.mp4-00.04.12.298-00.06.07.792_130.jpg,train,flat,high,flat_high,1.7016,2.4817,0.005170,0.7198,153.758,0
c2-converted.mp4-00.04.12.298-00.06.07.792_80.jpg,train,flat,high,flat_high,1.4204,5.8129,0.012110,0.7813,155.129,0
c2-converted.mp4-00.06.51.725-00.07.57.470_40.jpg,train,flat,high,flat_high,6.0169,177.3340,0.369446,0.5991,136.644,0
c20-converted.mp4-00.05.51.134-00.10.32.300_150.jpg,train,flat,high,flat_high,3.3036,216.0949,0.450198,0.7251,147.265,0
c20-converted.mp4-00.05.51.134-00.10.32.300_40.jpg,train,flat,high,flat_high,1.1306,7.6777,0.015995,0.9588,31.017,0
