filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
04_10m34s-11m00s_fpv_treeline_f021.jpg,train,flat,high,flat_high,1.4037,7.0967,0.014785,,5.268,0
04_10m34s-11m00s_fpv_treeline_f022.jpg,train,flat,high,flat_high,1.1978,3.7599,0.007833,,2.301,0
04_10m34s-11m00s_fpv_treeline_f023.jpg,train,flat,high,flat_high,2.2932,8.5003,0.017709,,2.141,0
01_01m32s-01m55s_aerial_recon_f000.jpg,train,flat,low,flat_low,12.7777,3.8032,0.007923,,2.099,0
01_01m32s-01m55s_aerial_recon_f001.jpg,train,flat,low,flat_low,2.8298,6.9002,0.014375,,2.183,0
01_01m32s-01m55s_aerial_recon_f002.jpg,train,flat,low,flat_low,1.7604,14.3385,0.029872,,2.236,0
01_01m32s-01m55s_aerial_recon_f003.jpg,train,flat,low,flat_low,25.3246,17.2022,0.035838,,2.183,0
01_01m32s-01m55s_aerial_recon_f004.jpg,train,flat,low,flat_low,12.3466,168.8469,0.351764,,2.060,0
01_01m32s-01m55s_aerial_recon_f005.jpg,train,flat,low,flat_low,2.2312,134.5353,0.280282,,2.116,0
01_01m32s-01m55s_aerial_recon_f006.jpg,train,flat,low,flat_low,52.4106,177.9415,0.370711,,2.110,0
01_01m32s-01m55s_aerial_recon_f009.jpg,train,flat,low,flat_low,3.6041,25.8441,0.053842,,1.989,0
01_01m32s-01m55s_aerial_recon_f010.jpg,train,flat,low,flat_low,1.5513,15.9647,0.033260,,2.022,0
01_01m32s-01m55s_aerial_recon_f011.jpg,train,flat,low,flat_low,1.1781,0.9770,0.002035,,2.005,0
01_01m32s-01m55s_aerial_recon_f012.jpg,train,flat,low,flat_low,2.3481,18.5283,0.038601,,2.087,0
01_01m32s-01m55s_aerial_recon_f013.jpg,train,flat,low,flat_low,22.7168,334.5975,0.697078,,2.078,0
01_01m32s-01m55s_aerial_recon_f018.jpg,train,flat,low,flat_low,17.5585,237.7000,0.495208,,2.125,0
01_01m32s-01m55s_aerial_recon_f019.jpg,train,flat,low,flat_low,1.6394,12.7858,0.026637,,2.103,0
01_01m32s-01m55s_aerial_recon_f020.jpg,train,flat,low,flat_low,0.5159,1.1562,0.002409,,1.975,0
01_01m32s-01m55s_aerial_recon_f023.jpg,train,flat,low,flat_low,7.1087,65.1149,0.135656,,2.094,0
01_01m32s-01m55s_aerial_recon_f024.jpg,train,flat,low,flat_low,1.0595,6.1648,0.012843,,2.086,0
01_01m32s-01m55s_aerial_recon_f025.jpg,train,flat,low,flat_low,1.2759,4.3576,0.009078,,2.069,0
01_01m32s-01m55s_aerial_recon_f026.jpg,train,flat,low,flat_low,0.7473,4.7980,0.009996,,2.057,0
01_01m32s-01m55s_aerial_recon_f027.jpg,train,flat,low,flat_low,5.4116,160.8796,0.335166,,2.110,0
01_01m32s-01m55s_aerial_recon_f029.jpg,train,flat,low,flat_low,1.4499,3.6930,0.007694,,2.091,0
