filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
a2-converted.mp4-00.04.37.277-00.04.54.650_20.jpg,train,flat,high,flat_high,0.2062,8.1687,0.017018,0.9730,109.647,0
a2-converted.mp4-00.06.13.959-00.06.43.015_0.jpg,train,flat,high,flat_high,0.5152,9.4444,0.019676,0.9799,3.732,0
a3-converted.mp4-00.05.14.880-00.05.57.073_60.jpg,train,flat,high,flat_high,1.0469,13.3949,0.027906,0.9634,3.517,0
b4-converted.mp4-00.04.29.322-00.04.46.474_10.jpg,train,flat,high,flat_high,0.6566,19.5337,0.040695,0.0000,4.007,0
b4-converted.mp4-00.05.26.825-00.05.40.658_0.jpg,train,flat,high,flat_high,1.3740,27.6178,0.057537,0.0000,3.978,0
b4-converted.mp4-00.05.26.825-00.05.40.658_20.jpg,train,flat,high,flat_high,1.4417,259.9437,0.541549,0.5165,4.435,0
b4-converted.mp4-00.08.30.960-00.08.58.324_10.jpg,train,flat,high,flat_high,2.0969,0.9941,0.002071,0.9935,3.984,0
c1-converted.mp4-00.07.52.353-00.09.59.939_110.jpg,train,flat,high,flat_high,1.3107,10.5838,0.022050,0.0000,3.597,0
c19-converted.mp4-00.01.53.703-00.02.35.685_0.jpg,train,flat,high,flat_high,1.2848,7.2494,0.015103,0.9573,3.577,0
c19-converted.mp4-00.03.20.301-00.05.47.074_20.jpg,train,flat,high,flat_high,1.0238,8.4989,0.017706,0.9097,3.980,0
c2-converted.mp4-00.04.12.298-00.06.07.792_130.jpg,train,flat,high,flat_high,1.6590,2.3145,0.004822,0.7198,4.032,0
c2-converted.mp4-00.04.12.298-00.06.07.792_80.jpg,train,flat,high,flat_high,0.7788,16.4998,0.034375,0.0000,3.538,0
c2-converted.mp4-00.06.51.725-00.07.57.470_40.jpg,train,flat,high,flat_high,0.3682,14.1818,0.029546,0.0000,3.606,0
c20-converted.mp4-00.05.51.134-00.10.32.300_150.jpg,train,flat,high,flat_high,1.5747,0.1369,0.000285,0.0000,3.537,0
c20-converted.mp4-00.05.51.134-00.10.32.300_40.jpg,train,flat,high,flat_high,1.0709,7.7760,0.016200,0.9588,3.656,0
c20-converted.mp4-00.05.51.134-00.10.32.300_70.jpg,train,flat,high,flat_high,0.7932,8.1396,0.016958,0.9627,3.685,0
c3-converted.mp4-00.07.07.496-00.07.19.161_0.jpg,train,flat,high,flat_high,0.4929,10.0570,0.020952,0.0009,4.017,0
d6-converted.mp4-00.02.56.484-00.05.09.707_100.jpg,train,flat,high,flat_high,0.2835,13.4731,0.028069,0.8989,3.899,0
d6-converted.mp4-00.02.56.484-00.05.09.707_160.jpg,train,flat,high,flat_high,2.9773,7.1673,0.014932,0.7068,3.719,0
d6-converted.mp4-00.05.52.629-00.06.11.143_0.jpg,train,flat,high,flat_high,2.4424,22.4306,0.046731,0.0000,4.054,0
da1-converted.mp4-00.06.08.479-00.08.51.651_100.jpg,train,flat,high,flat_high,0.4228,5.5582,0.011580,0.9837,3.682,0
e1-converted.mp4-00.05.02.178-00.08.52.285_60.jpg,train,flat,high,flat_high,0.0516,0.5039,0.001050,0.9948,3.541,0
e11-converted.mp4-00.01.46.321-00.04.23.535_120.jpg,train,flat,high,flat_high,2.0187,0.0601,0.000125,0.9185,3.918,0
e6-converted.mp4-00.02.56.059-00.05.03.817_100.jpg,train,flat,high,flat_high,0.3544,13.9452,0.029053,0.8978,3.819,0
e6-converted.mp4-00.02.56.059-00.05.03.817_160.jpg,train,flat,high,flat_high,3.1333,7.7180,0.016079,0.7051,3.845,0
e6-converted.mp4-00.05.23.942-00.05.33.774_10.jpg,train,flat,high,flat_high,2.1794,1.9463,0.004055,0.9765,3.920,0
a2-converted.mp4-00.06.13.959-00.06.43.015_40.jpg,train,flat,low,flat_low,2.5971,20.5431,0.042798,0.9599,3.534,0
a2-converted.mp4-00.06.55.028-00.07.05.888_10.jpg,train,flat,low,flat_low,0.2033,2.7850,0.005802,0.9761,3.365,0
b4-converted.mp4-00.06.31.585-00.06.57.052_10.jpg,train,flat,low,flat_low,7.7522,171.6381,0.357579,,4.509,0
b4-converted.mp4-00.08.30.960-00.08.58.324_40.jpg,train,flat,low,flat_low,3.1033,41.2743,0.085988,0.0000,3.987,0
c19-converted.mp4-00.03.20.301-00.05.47.074_110.jpg,train,flat,low,flat_low,0.5921,8.6756,0.018074,0.9419,3.690,0
c20-converted.mp4-00.05.51.134-00.10.32.300_190.jpg,train,flat,low,flat_low,0.1823,23.7093,0.049394,0.8647,3.967,0
d3-converted.mp4-00.12.04.422-00.13.35.453_40.jpg,train,flat,low,flat_low,1.7597,2.9322,0.006109,0.9670,3.593,0
e12-converted.mp4-00.01.20.478-00.02.38.637_110.jpg,train,flat,low,flat_low,0.3201,10.9162,0.022742,0.0000,3.693,0
e9-converted.mp4-00.01.53.675-00.03.39.513_140.jpg,train,flat,low,flat_low,0.5402,13.8814,0.028920,0.9334,3.512,0
e9-converted.mp4-00.01.53.675-00.03.39.513_90.jpg,train,flat,low,flat_low,0.2120,7.2373,0.015078,0.9522,3.805,0
e9-converted.mp4-00.03.41.068-00.05.06.504_0.jpg,train,flat,low,flat_low,0.1097,11.4461,0.023846,0.9457,3.561,0
a2-converted.mp4-00.04.37.277-00.04.54.650_30.jpg,train,flat,mid,flat_mid,1.2346,13.8313,0.028815,0.9572,3.644,0
a2-converted.mp4-00.04.57.869-00.05.42.169_0.jpg,train,flat,mid,flat_mid,1.7366,18.8906,0.039355,0.9451,3.668,0
a2-converted.mp4-00.04.57.869-00.05.42.169_10.jpg,train,flat,mid,flat_mid,0.8219,9.5906,0.019980,0.9635,3.561,0
a2-converted.mp4-00.04.57.869-00.05.42.169_30.jpg,train,flat,mid,flat_mid,3.5519,29.7322,0.061942,0.9394,3.640,0
a2-converted.mp4-00.04.57.869-00.05.42.169_50.jpg,train,flat,mid,flat_mid,0.0562,8.1446,0.016968,0.9690,3.427,0
a2-converted.mp4-00.06.13.959-00.06.43.015_20.jpg,train,flat,mid,flat_mid,0.1694,5.9965,0.012493,0.9694,3.442,0
a2-converted.mp4-00.06.55.028-00.07.05.888_0.jpg,train,flat,mid,flat_mid,0.3081,2.4078,0.005016,0.9810,3.354,0
a2-converted.mp4-00.07.54.791-00.08.31.469_0.jpg,train,flat,mid,flat_mid,0.6030,4.3863,0.009138,0.9748,3.677,0
a2-converted.mp4-00.07.54.791-00.08.31.469_20.jpg,train,flat,mid,flat_mid,0.6353,9.4193,0.019623,0.9537,3.451,0
a2-converted.mp4-00.07.54.791-00.08.31.469_30.jpg,train,flat,mid,flat_mid,1.2701,0.8588,0.001789,0.9717,3.600,0
a2-converted.mp4-00.07.54.791-00.08.31.469_40.jpg,train,flat,mid,flat_mid,0.6358,0.7577,0.001578,0.9498,3.815,0
a2-converted.mp4-00.08.34.720-00.08.49.080_10.jpg,train,flat,mid,flat_mid,1.0987,2.1096,0.004395,0.9771,3.607,0
a3-converted.mp4-00.05.14.880-00.05.57.073_0.jpg,train,flat,mid,flat_mid,1.4658,0.9815,0.002045,0.9808,3.459,0
a3-converted.mp4-00.05.14.880-00.05.57.073_40.jpg,train,flat,mid,flat_mid,0.6337,12.5046,0.026051,0.9634,3.490,0
a3-converted.mp4-00.06.23.404-00.07.02.976_20.jpg,train,flat,mid,flat_mid,1.6540,0.4072,0.000848,0.9634,3.547,0
a3-converted.mp4-00.07.29.948-00.07.39.727_0.jpg,train,flat,mid,flat_mid,1.1249,3.8094,0.007936,0.9686,3.530,0
a3-converted.mp4-00.08.04.849-00.09.06.443_10.jpg,train,flat,mid,flat_mid,1.7755,2.4507,0.005106,0.9822,3.493,0
a3-converted.mp4-00.08.04.849-00.09.06.443_20.jpg,train,flat,mid,flat_mid,0.0087,7.5706,0.015772,0.9607,3.256,0
a3-converted.mp4-00.08.04.849-00.09.06.443_40.jpg,train,flat,mid,flat_mid,0.6449,5.6143,0.011697,0.9700,3.545,0
a3-converted.mp4-00.08.04.849-00.09.06.443_60.jpg,train,flat,mid,flat_mid,0.3704,10.7791,0.022456,0.9627,3.499,0
a4-converted.mp4-00.02.43.911-00.03.05.670_10.jpg,train,flat,mid,flat_mid,0.3513,12.0566,0.025118,0.9554,3.695,0
