filename,source_clip,t_in_clip_s,t_in_source_s,source_video_url
01_01m32s-01m55s_aerial_recon_f000.jpg,01_01m32s-01m55s_aerial_recon.mp4,0.0,92.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f001.jpg,01_01m32s-01m55s_aerial_recon.mp4,0.5,92.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f002.jpg,01_01m32s-01m55s_aerial_recon.mp4,1.0,93.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f003.jpg,01_01m32s-01m55s_aerial_recon.mp4,1.5,93.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f004.jpg,01_01m32s-01m55s_aerial_recon.mp4,2.0,94.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f005.jpg,01_01m32s-01m55s_aerial_recon.mp4,2.5,94.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f006.jpg,01_01m32s-01m55s_aerial_recon.mp4,3.0,95.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f007.jpg,01_01m32s-01m55s_aerial_recon.mp4,3.5,95.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f008.jpg,01_01m32s-01m55s_aerial_recon.mp4,4.0,96.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f009.jpg,01_01m32s-01m55s_aerial_recon.mp4,4.5,96.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f010.jpg,01_01m32s-01m55s_aerial_recon.mp4,5.0,97.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f011.jpg,01_01m32s-01m55s_aerial_recon.mp4,5.5,97.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f012.jpg,01_01m32s-01m55s_aerial_recon.mp4,6.0,98.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f013.jpg,01_01m32s-01m55s_aerial_recon.mp4,6.5,98.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f014.jpg,01_01m32s-01m55s_aerial_recon.mp4,7.0,99.0,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f015.jpg,01_01m32s-01m55s_aerial_recon.mp4,7.5,99.5,https://www.youtube.com/watch?v=zNxvegKr7AM
01_01m32s-01m55s_aerial_recon_f016.jpg,01_01m32s-01m55s_aerial_recon.mp4,8.0,100.0,https://www.youtube.com/watch?v=zNxvegKr7AM
